date_from,date_to,district_out,district_in,subscriber_in ,subscriber_out,density_in,density_out,sms_in ,sms_out ,call_in,call_out ,movement 
01/01/2020,07/01/2020,Male,Male,122666,67288,406364,450309,213353201,119888471,1031440,5662773,175626
01/01/2020,07/01/2020,Male,Maafushi,478632,156800,2118,160254,209194968,146887386,981871,7885329,797377
01/01/2020,07/01/2020,Male,Naifaru,189537,441454,197995,371772,7190420,182386757,15329301,15720854,220627
01/01/2020,07/01/2020,Male,Baros,120435,303305,484771,442097,246029471,205205803,12940953,48212,548097
01/01/2020,07/01/2020,Male,Fuvahmulah,271434,396587,83287,338318,144147046,17742508,15563192,10458572,566853
01/01/2020,07/01/2020,Maafushi,Male,145811,181218,308821,416310,90573891,35143846,15364342,6783544,930738
01/01/2020,07/01/2020,Maafushi,Maafushi,472582,273064,366932,410019,77117563,216274239,6247378,13397822,216648
01/01/2020,07/01/2020,Maafushi,Naifaru,169159,491559,402413,151110,179043306,17892316,3664476,12161555,680238
01/01/2020,07/01/2020,Maafushi,Baros,333443,341538,470014,434633,46352094,250552960,18311464,1435078,287063
01/01/2020,07/01/2020,Maafushi,Fuvahmulah,395914,334231,67380,309256,5870270,64206381,17134114,3762762,991421
01/01/2020,07/01/2020,Naifaru,Male,67992,380758,32666,17622,198849810,230568356,18156701,12182032,513997
01/01/2020,07/01/2020,Naifaru,Maafushi,14045,347475,340218,122216,233624609,6823372,4393060,10508807,946592
01/01/2020,07/01/2020,Naifaru,Naifaru,294209,10436,368469,78097,142239697,244648206,15862632,1751137,229421
01/01/2020,07/01/2020,Naifaru,Baros,173301,237154,95072,201227,161602258,173361490,4248360,13113722,869861
01/01/2020,07/01/2020,Naifaru,Fuvahmulah,28160,73377,56743,351039,77602421,140279418,4299387,9629561,131401
01/01/2020,07/01/2020,Baros,Male,477325,34689,148198,446245,97117002,182156107,14828865,19182932,508933
01/01/2020,07/01/2020,Baros,Maafushi,2895,321024,96635,369346,225496030,201428231,16950959,8333800,618999
01/01/2020,07/01/2020,Baros,Naifaru,52960,69058,190009,404464,106785481,180010879,4538129,6342346,26613
01/01/2020,07/01/2020,Baros,Baros,203856,367741,261404,313642,215629518,112575904,17477219,13004405,991232
01/01/2020,07/01/2020,Baros,Fuvahmulah,427397,346997,93690,106258,43388783,227810458,15835276,10848048,325151
01/01/2020,07/01/2020,Fuvahmulah,Male,491542,451024,413492,65041,39964152,82214997,4103719,499340,388749
01/01/2020,07/01/2020,Fuvahmulah,Maafushi,344976,78189,189638,344897,56028475,16707838,1335246,8195623,724685
01/01/2020,07/01/2020,Fuvahmulah,Naifaru,445934,481231,339358,476876,215262940,126944099,17577522,7439687,759877
01/01/2020,07/01/2020,Fuvahmulah,Baros,162572,392595,332963,341385,78769356,22852999,10224552,14862939,614683
01/01/2020,07/01/2020,Fuvahmulah,Fuvahmulah,445556,408567,91826,12846,156197453,157554775,3992312,2078000,185930
08/01/2020,14/01/2020,Male,Male,122626,192975,333323,140670,197018382,234308863,15020754,7888754,464291
08/01/2020,14/01/2020,Male,Maafushi,3785,870,239257,426161,53122522,163682164,12762926,3876910,244977
08/01/2020,14/01/2020,Male,Naifaru,337727,229447,268382,314939,202968368,124018202,14116730,8200020,393246
08/01/2020,14/01/2020,Male,Baros,483720,311886,306623,205122,22343922,8480067,5132757,2893603,217923
08/01/2020,14/01/2020,Male,Fuvahmulah,78778,472577,269548,495748,88782032,38437420,5042567,11776482,169366
08/01/2020,14/01/2020,Maafushi,Male,400456,418757,284969,199555,227814783,31256455,5926753,8554077,155326
08/01/2020,14/01/2020,Maafushi,Maafushi,354694,461356,237221,110147,28774703,122066724,5231173,8257736,321639
08/01/2020,14/01/2020,Maafushi,Naifaru,153637,350367,72173,306657,49676662,204533832,15710308,8759895,399313
08/01/2020,14/01/2020,Maafushi,Baros,84706,452090,177884,125392,41040504,62434546,12078578,13791736,153519
08/01/2020,14/01/2020,Maafushi,Fuvahmulah,493987,31460,22722,68180,145808899,212411805,5456966,5627518,1507
08/01/2020,14/01/2020,Naifaru,Male,91067,461275,159086,124657,208505889,89513141,9889447,6956120,897184
08/01/2020,14/01/2020,Naifaru,Maafushi,43817,191455,355093,172596,209018062,159659901,19305776,11855878,352000
08/01/2020,14/01/2020,Naifaru,Naifaru,175753,368558,128828,305053,98564138,45372713,6660437,16260712,395102
08/01/2020,14/01/2020,Naifaru,Baros,355657,280565,486826,391660,66611081,251544114,2545530,11079680,197184
