date,district_in,district_out,district_in_encoded,district_out_encoded,density,subscribers,sms_in ,sms_out ,call_in,call_out ,movement ,average_call_duration
2020-01,Baros,Baros,Stonewall,Stonewall,843.666666666667,246087.5,1147108341,884754771,84350440,73722335,219.166666666667,430.833333333333
2020-01,Baros,Fuvahmulah,Stonewall,Seabrook,843.666666666667,246087.5,596263304,1119553663,59809043,60931632,295,430.5
2020-01,Baros,Maafushi,Stonewall,Portico,843.666666666667,246087.5,744866713,739469848,68144958,78464191,165.5,572.833333333333
2020-01,Baros,Male,Stonewall,Cremont,843.666666666667,246087.5,817648409,610962423,80870356,70103661,250.166666666667,490.5
2020-01,Baros,Naifaru,Stonewall,Metromic,843.666666666667,246087.5,996255588,553890345,50178405,54795409,191,354.333333333333
2020-01,Fuvahmulah,Baros,Seabrook,Stonewall,692.166666666667,328048.5,641178729,766648884,67157177,44991592,231.833333333333,402.666666666667
2020-01,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,692.166666666667,328048.5,704410412,1011058801,71710882,68346609,195.833333333333,603
2020-01,Fuvahmulah,Maafushi,Seabrook,Portico,692.166666666667,328048.5,780635785,541313314,49750249,33336002,281,400.166666666667
2020-01,Fuvahmulah,Male,Seabrook,Cremont,692.166666666667,328048.5,742778815,1057188663,36286235,24132671,263.166666666667,537.5
2020-01,Fuvahmulah,Naifaru,Seabrook,Metromic,692.166666666667,328048.5,758191844,491251487,72763815,53969652,292.666666666667,558.833333333333
2020-01,Maafushi,Baros,Portico,Stonewall,867.5,267835.333333333,453289987,976482956,58233711,39254873,288,374.833333333333
2020-01,Maafushi,Fuvahmulah,Portico,Seabrook,867.5,267835.333333333,764332551,906200447,57928446,29276559,218.666666666667,313
2020-01,Maafushi,Maafushi,Portico,Portico,867.5,267835.333333333,759937349,853069669,69929892,37597729,330.666666666667,579.333333333333
2020-01,Maafushi,Male,Portico,Cremont,867.5,267835.333333333,676576528,742733271,64218873,54348426,272.333333333333,670
2020-01,Maafushi,Naifaru,Portico,Metromic,867.5,267835.333333333,715058711,495387542,73934815,61859413,397.666666666667,354.5
2020-01,Male,Baros,Cremont,Stonewall,806.166666666667,281989.166666667,947354962,799426209,65817686,41556207,196.333333333333,563
2020-01,Male,Fuvahmulah,Cremont,Seabrook,806.166666666667,281989.166666667,685046724,311344767,61701655,78916333,212.5,546.333333333333
2020-01,Male,Maafushi,Cremont,Portico,806.166666666667,281989.166666667,727998658,713248693,65276843,72800800,354.5,475.333333333333
2020-01,Male,Male,Cremont,Cremont,806.166666666667,281989.166666667,1104625810,632344461,54497177,43200840,236.333333333333,536.5
2020-01,Male,Naifaru,Cremont,Metromic,806.166666666667,281989.166666667,749612957,666068769,74175966,73201840,230.5,420
2020-01,Naifaru,Baros,Metromic,Stonewall,646,227739.5,680428971,692384657,47668193,43384577,283.666666666667,483.333333333333
2020-01,Naifaru,Fuvahmulah,Metromic,Seabrook,646,227739.5,689067762,323703028,52558004,63576393,343.666666666667,413
2020-01,Naifaru,Maafushi,Metromic,Portico,646,227739.5,819897174,836121856,52967611,61188328,319.833333333333,416.666666666667
2020-01,Naifaru,Male,Metromic,Cremont,646,227739.5,826606961,822001909,75981243,69248878,288.166666666667,409.666666666667
2020-01,Naifaru,Naifaru,Metromic,Metromic,646,227739.5,596772217,649242707,73350846,66766443,216.833333333333,379.333333333333
2020-02,Baros,Baros,Stonewall,Stonewall,1010.75,245708.25,537103169,394607494,49254260,59070227,311.25,537.25
2020-02,Baros,Fuvahmulah,Stonewall,Seabrook,1010.75,245708.25,368279587,494920800,32829692,40357456,401.5,520.25
2020-02,Baros,Maafushi,Stonewall,Portico,1010.75,245708.25,355316254,565040668,44129486,34854848,128,511
2020-02,Baros,Male,Stonewall,Cremont,1010.75,245708.25,575056663,325834706,17822129,52253974,244.75,636.5
2020-02,Baros,Naifaru,Stonewall,Metromic,1010.75,245708.25,489455817,687906571,31526888,48506179,121.75,367
2020-02,Fuvahmulah,Baros,Seabrook,Stonewall,788.75,300108.5,349058834,616274127,32688222,28087509,178.5,510.5
2020-02,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,788.75,300108.5,516590970,605907232,46874220,46711186,297.25,661
2020-02,Fuvahmulah,Maafushi,Seabrook,Portico,788.75,300108.5,590554147,453216671,37470030,60579113,339,302.25
2020-02,Fuvahmulah,Male,Seabrook,Cremont,788.75,300108.5,436745381,648742322,68729487,27663509,200.75,682.25
2020-02,Fuvahmulah,Naifaru,Seabrook,Metromic,788.75,300108.5,673861564,471806151,41409714,45002133,264,483.5
2020-02,Maafushi,Baros,Portico,Stonewall,692,308881.5,522326648,409887561,35800593,55606233,268.75,530.5
2020-02,Maafushi,Fuvahmulah,Portico,Seabrook,692,308881.5,452169753,582573636,38354948,37665732,273.5,330.75
2020-02,Maafushi,Maafushi,Portico,Portico,692,308881.5,189134335,411004191,46238497,22889888,235.5,510.75
2020-02,Maafushi,Male,Portico,Cremont,692,308881.5,539654383,304668707,21057846,23831871,243.5,789.5
2020-02,Maafushi,Naifaru,Portico,Metromic,692,308881.5,607352252,539750200,49160243,43199245,277.25,628.5
2020-02,Male,Baros,Cremont,Stonewall,576.5,325396,354119754,614467600,17015556,20567428,165,418.75
2020-02,Male,Fuvahmulah,Cremont,Seabrook,576.5,325396,617347317,550624047,37433811,14646849,297.25,571.75
2020-02,Male,Maafushi,Cremont,Portico,576.5,325396,303649136,255655984,28209400,43173905,269.75,214.5
2020-02,Male,Male,Cremont,Cremont,576.5,325396,376266076,298809537,52126032,44469656,269.25,499.5
2020-02,Male,Naifaru,Cremont,Metromic,576.5,325396,329841203,627102238,44085615,40191013,234.25,474.5
2020-02,Naifaru,Baros,Metromic,Stonewall,1259,171346.5,620140939,413943501,67142028,36833689,158.75,402
2020-02,Naifaru,Fuvahmulah,Metromic,Seabrook,1259,171346.5,443400653,591794471,51867581,49323056,338.75,308.75
2020-02,Naifaru,Maafushi,Metromic,Portico,1259,171346.5,529484471,522994421,40090895,39346072,315.25,298
2020-02,Naifaru,Male,Metromic,Cremont,1259,171346.5,701974889,645832267,19363937,38512711,307.25,591.5
2020-02,Naifaru,Naifaru,Metromic,Metromic,1259,171346.5,781203741,724487020,43439888,38190798,315,360.75
2020-03,Baros,Baros,Stonewall,Stonewall,698.333333333333,340457.333333333,248062562,535571727,28038669,26624529,113,473.666666666667
2020-03,Baros,Fuvahmulah,Stonewall,Seabrook,698.333333333333,340457.333333333,234876004,346525462,48557216,49403570,119,268.666666666667
2020-03,Baros,Maafushi,Stonewall,Portico,698.333333333333,340457.333333333,433650358,565184544,29864300,24069597,182,339
2020-03,Baros,Male,Stonewall,Cremont,698.333333333333,340457.333333333,292891496,335901849,27565240,25391667,324.666666666667,341
2020-03,Baros,Naifaru,Stonewall,Metromic,698.333333333333,340457.333333333,225084374,461552380,39213949,45101956,88.3333333333333,443.666666666667
