date,district_in,density,subscribers,
2020-01,53,843.666666666667,246087.5,
2020-01,19,692.166666666667,328048.5,
2020-01,21,867.5,267835.333333333,
2020-01,6,806.166666666667,281989.166666667,
2020-01,48,646,227739.5,
2020-02,53,1010.75,245708.25,
2020-02,19,788.75,300108.5,
2020-02,21,692,308881.5,
2020-02,6,576.5,325396,
2020-02,48,1259,171346.5,
2020-03,53,698.333333333333,340457.333333333,
2020-03,19,941.666666666667,336613,
2020-03,21,633.666666666667,402356,
2020-03,6,1126,189461,
2020-03,48,744.666666666667,286325,
2020-04,53,1062.6,275340.8,
2020-04,19,1129.2,255175.6,
2020-04,21,387.6,287518.2,
2020-04,6,573.2,300945.8,
2020-04,48,870.4,298856.6,
2020-05,53,838.2,172298.6,
2020-05,19,773.4,94351.8,
2020-05,21,606.6,292827,
2020-05,6,844.4,287902.6,
2020-05,48,675.8,206454.6,
2020-06,53,937.333333333333,273627.666666667,
2020-06,19,858.666666666667,195017.333333333,
2020-06,21,802.666666666667,208744.333333333,
2020-06,6,1253.66666666667,268173.333333333,
2020-06,48,342,342220.666666667,
2020-07,53,562.25,185426.75,
2020-07,19,365.5,292698.5,
2020-07,21,673.25,291371.5,
2020-07,6,589.5,334044,
2020-07,48,955.25,208518.75,
2020-08,53,509,316904,
2020-08,19,746,43936,
2020-08,21,1063.2,272602.8,
2020-08,6,717.8,249634.4,
2020-08,48,1303.4,213388.6,
2020-09,53,570.8,200049.4,
2020-09,19,1000.8,365904.8,
2020-09,21,660,231107.8,
2020-09,6,430.4,283998.6,
2020-09,48,955.4,262702.8,
2020-10,53,352.25,206978.75,
2020-10,19,635,208119,
2020-10,21,888.75,60637.25,
2020-10,6,823.5,229530,
2020-10,48,792.75,172294.5,
2020-11,53,742,23963,
2020-11,19,1065,260082,
2020-11,21,507,194642.25,
2020-11,6,909.5,317187.75,
2020-11,48,571,316936.5,
2020-12,53,974.6,108090.2,
2020-12,19,829,210854.2,
2020-12,21,1027.2,376995.2,
2020-12,6,595.6,334662.6,
2020-12,48,1143.6,331698.4,
2021-01,53,1055,162466,
2021-01,19,948.8,339786.4,
2021-01,21,729.4,229426,
2021-01,6,709.6,280230.4,
2021-01,48,936.2,217870,
2021-02,53,585.333333333333,283278.666666667,
2021-02,19,824,229921.333333333,
