date_from,date_to,district_in,district_out,district_in_encoded,district_out_encoded,density,subscribers,sms_in ,sms_out ,call_in,call_out ,movement ,average_call_duration
01/01/2020,07/01/2020,Male,Male,Cremont,Cremont,440,476184,213353201,119888471,1031440,5662773,75,288
01/01/2020,07/01/2020,Male,Maafushi,Cremont,Portico,440,476184,209194968,146887386,981871,7885329,338,288
01/01/2020,07/01/2020,Male,Naifaru,Cremont,Metromic,440,476184,7190420,182386757,15329301,15720854,217,146
01/01/2020,07/01/2020,Male,Baros,Cremont,Stonewall,440,476184,246029471,205205803,12940953,48212,191,875
01/01/2020,07/01/2020,Male,Fuvahmulah,Cremont,Seabrook,440,476184,144147046,17742508,15563192,10458572,410,885
01/01/2020,07/01/2020,Maafushi,Male,Portico,Cremont,87,436996,90573891,35143846,15364342,6783544,214,534
01/01/2020,07/01/2020,Maafushi,Maafushi,Portico,Portico,87,436996,77117563,216274239,6247378,13397822,89,396
01/01/2020,07/01/2020,Maafushi,Naifaru,Portico,Metromic,87,436996,179043306,17892316,3664476,12161555,492,292
01/01/2020,07/01/2020,Maafushi,Baros,Portico,Stonewall,87,436996,46352094,250552960,18311464,1435078,378,414
01/01/2020,07/01/2020,Maafushi,Fuvahmulah,Portico,Seabrook,87,436996,5870270,64206381,17134114,3762762,137,659
01/01/2020,07/01/2020,Naifaru,Male,Metromic,Cremont,1537,226560,198849810,230568356,18156701,12182032,301,429
01/01/2020,07/01/2020,Naifaru,Maafushi,Metromic,Portico,1537,226560,233624609,6823372,4393060,10508807,491,5
01/01/2020,07/01/2020,Naifaru,Naifaru,Metromic,Metromic,1537,226560,142239697,244648206,15862632,1751137,167,706
01/01/2020,07/01/2020,Naifaru,Baros,Metromic,Stonewall,1537,226560,161602258,173361490,4248360,13113722,441,728
01/01/2020,07/01/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,1537,226560,77602421,140279418,4299387,9629561,472,224
01/01/2020,07/01/2020,Baros,Male,Stonewall,Cremont,568,179367,97117002,182156107,14828865,19182932,120,515
01/01/2020,07/01/2020,Baros,Maafushi,Stonewall,Portico,568,179367,225496030,201428231,16950959,8333800,413,176
01/01/2020,07/01/2020,Baros,Naifaru,Stonewall,Metromic,568,179367,106785481,180010879,4538129,6342346,7,83
01/01/2020,07/01/2020,Baros,Baros,Stonewall,Stonewall,568,179367,215629518,112575904,17477219,13004405,81,291
