date_from,date_to,district_in,density,subscribers
01/01/2020,07/01/2020,6,440,476184
01/01/2020,07/01/2020,21,87,436996
01/01/2020,07/01/2020,48,1537,226560
01/01/2020,07/01/2020,53,568,179367
01/01/2020,07/01/2020,19,464,296361
08/01/2020,14/01/2020,6,1367,301731
08/01/2020,14/01/2020,21,720,340934
08/01/2020,14/01/2020,48,1228,336556
08/01/2020,14/01/2020,53,84,496151
08/01/2020,14/01/2020,19,715,478484
6/01/2020,21/01/2020,6,932,221312
6/01/2020,21/01/2020,21,1461,113536
6/01/2020,21/01/2020,48,513,492911
6/01/2020,21/01/2020,53,1634,440129
6/01/2020,21/01/2020,19,1237,329900
22/01/2020,28/01/2020,6,1243,30326
22/01/2020,28/01/2020,21,1637,127593
22/01/2020,28/01/2020,48,79,241629
22/01/2020,28/01/2020,53,173,194027
22/01/2020,28/01/2020,19,1217,382864
29/01/2020,04/02/2020,6,542,9603
29/01/2020,04/02/2020,21,967,254314
29/01/2020,04/02/2020,48,125,72512
29/01/2020,04/02/2020,53,590,215578
29/01/2020,04/02/2020,19,365,483829
05/02/2020,11/02/2020,6,1601,208057
05/02/2020,11/02/2020,21,386,62778
05/02/2020,11/02/2020,48,298,392303
05/02/2020,11/02/2020,53,90,193273
05/02/2020,11/02/2020,19,958,30807
12/02/2020,18/02/2020,6,124,356799
12/02/2020,18/02/2020,21,296,283119
12/02/2020,18/02/2020,48,1623,279634
12/02/2020,18/02/2020,53,448,159446
12/02/2020,18/02/2020,19,879,302089
19/02/2020,25/02/2020,6,554,346145
19/02/2020,25/02/2020,21,384,385526
19/02/2020,25/02/2020,48,1659,155073
19/02/2020,25/02/2020,53,1396,151938
19/02/2020,25/02/2020,19,23,124877
21/02/2020,03/03/2020,6,310,448675
21/02/2020,03/03/2020,21,1055,418373
21/02/2020,03/03/2020,48,1203,190895
21/02/2020,03/03/2020,53,359,202918
21/02/2020,03/03/2020,19,1032,421188
04/03/2020,10/03/2020,6,1579,365496
04/03/2020,10/03/2020,21,209,423000
04/03/2020,10/03/2020,48,534,370740
04/03/2020,10/03/2020,53,748,217209
04/03/2020,10/03/2020,19,716,228651
11/03/2020,17/03/2020,6,1004,332463
11/03/2020,17/03/2020,21,442,87907
11/03/2020,17/03/2020,48,240,444291
11/03/2020,17/03/2020,53,1318,133259
11/03/2020,17/03/2020,19,1217,306517
18/03/2020,24/03/2020,6,1411,147305
18/03/2020,24/03/2020,21,356,418424
18/03/2020,24/03/2020,48,367,260015
18/03/2020,24/03/2020,53,671,336364
18/03/2020,24/03/2020,19,1109,213601
25/03/2020,31/03/2020,6,1504,57864
25/03/2020,31/03/2020,21,628,417624
25/03/2020,31/03/2020,48,622,161643
25/03/2020,31/03/2020,53,241,474153
25/03/2020,31/03/2020,19,413,486245
01/04/2020,07/04/2020,6,1414,462580
01/04/2020,07/04/2020,21,29,289583
01/04/2020,07/04/2020,48,1193,170711
01/04/2020,07/04/2020,53,780,127227
01/04/2020,07/04/2020,19,275,466861
08/04/2020,14/04/2020,6,989,138519
08/04/2020,14/04/2020,21,1696,368168
08/04/2020,14/04/2020,48,1556,39590
08/04/2020,14/04/2020,53,363,401073
08/04/2020,14/04/2020,19,483,495016
6/04/2020,21/04/2020,6,163,270797
6/04/2020,21/04/2020,21,123,343955
6/04/2020,21/04/2020,48,524,187365
6/04/2020,21/04/2020,53,982,266456
6/04/2020,21/04/2020,19,1137,307770
22/04/2020,28/04/2020,6,285,285758
22/04/2020,28/04/2020,21,186,229320
22/04/2020,28/04/2020,48,821,159727
22/04/2020,28/04/2020,53,1344,306130
22/04/2020,28/04/2020,19,777,446888
29/04/2020,05/05/2020,6,202,251224
29/04/2020,05/05/2020,21,1284,268251
29/04/2020,05/05/2020,48,1016,494850
29/04/2020,05/05/2020,53,690,335468
29/04/2020,05/05/2020,19,1514,191202
06/05/2020,12/05/2020,6,697,196615
