date,district_in,density,subscribers,
2020,53,762.528301886792,230023.811320755,
2020,19,818.169811320755,276136.245283019,
2020,21,741.150943396226,274107.509433962,
2020,6,743.685794596226,286324.320754717,
2020,48,871.528301886792,250829.509433962,
2021,53,850.423076923077,235749.769230769,
2021,19,823.019230769231,257523.173076923,
2021,21,930.961538461538,266660.692307692,
2021,6,761.403846153846,258654.692307692,
2021,48,794.692307692308,244754.153846154,
2022,53,797.340909090909,266982.886363636,
2022,19,888.068181818182,268224.363636364,
2022,21,852.931818181818,206303,
2022,6,841.613636363636,270211.340909091,
2022,48,794.692307692308,244754.153846154,
